date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:23:46	291/291	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2029%20Jan%202015%2012:53:47%20GMT	http://www.blogger.com/share-post.g?blogID=8182335901919555726&postID=218787070973915999&target=blog	D:/My%20Web%20Sites/wedding%20storyz/www.blogger.com/share-post1861.g	(from http://www.weddingstoryz.com/)
18:23:47	294/294	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2029%20Jan%202015%2012:53:48%20GMT	http://www.blogger.com/share-post.g?blogID=8182335901919555726&postID=218787070973915999&target=twitter	D:/My%20Web%20Sites/wedding%20storyz/www.blogger.com/share-post8afd.g	(from http://www.weddingstoryz.com/)
18:23:48	295/295	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2029%20Jan%202015%2012:53:49%20GMT	http://www.blogger.com/share-post.g?blogID=8182335901919555726&postID=218787070973915999&target=facebook	D:/My%20Web%20Sites/wedding%20storyz/www.blogger.com/share-post8345.g	(from http://www.weddingstoryz.com/)
18:23:49	296/296	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2029%20Jan%202015%2012:53:50%20GMT	http://www.blogger.com/share-post.g?blogID=8182335901919555726&postID=218787070973915999&target=pinterest	D:/My%20Web%20Sites/wedding%20storyz/www.blogger.com/share-post7864.g	(from http://www.weddingstoryz.com/)
18:23:50	290/290	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2029%20Jan%202015%2012:53:51%20GMT	http://www.blogger.com/post-edit.g?blogID=8182335901919555726&postID=218787070973915999&from=pencil	D:/My%20Web%20Sites/wedding%20storyz/www.blogger.com/post-edit8a45.g	(from http://www.weddingstoryz.com/)
18:23:51	90762/90762	---M--	200	added ('OK')	image/jpeg	etag:%22v2e2%22	http://1.bp.blogspot.com/-LPh8UpsJWs4/VH68c7NauhI/AAAAAAAAAuE/NygenJ0Uez8/s1600/NM-Gujarati-Beach-Wedding-At-Havelcok-India-Beach-Wedding-Photographer-In-Delhi-Gurgaon-Goa-Mumbai-Kerela-Andaman-30.jpg	D:/My%20Web%20Sites/wedding%20storyz/1.bp.blogspot.com/-LPh8UpsJWs4/VH68c7NauhI/AAAAAAAAAuE/NygenJ0Uez8/s1600/NM-Gujarati-Beach-Wedding-At-Havelcok-India-Beach-Wedding-Photographer-In-Delhi-Gurgaon-Goa-Mumbai-Kerela-Andaman-30.jpg	(from http://www.weddingstoryz.com/)
18:23:52	92592/92592	---M-Z	200	added ('OK')	text/html	etag:%22a52f51f9-c301-498f-8530-08e552c0c400%22	http://www.weddingstoryz.com/2014/11/indian-bride-groom-candid-photographer-lehenga-hyderabad.html	D:/My%20Web%20Sites/wedding%20storyz/www.weddingstoryz.com/2014/11/indian-bride-groom-candid-photographer-lehenga-hyderabad.html	(from http://www.weddingstoryz.com/)
18:23:53	293/293	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2029%20Jan%202015%2012:53:53%20GMT	http://www.blogger.com/share-post.g?blogID=8182335901919555726&postID=8588831389617440999&target=email	D:/My%20Web%20Sites/wedding%20storyz/www.blogger.com/share-post5122.g	(from http://www.weddingstoryz.com/)
18:23:54	292/292	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2029%20Jan%202015%2012:53:55%20GMT	http://www.blogger.com/share-post.g?blogID=8182335901919555726&postID=8588831389617440999&target=blog	D:/My%20Web%20Sites/wedding%20storyz/www.blogger.com/share-post1d0a.g	(from http://www.weddingstoryz.com/)
18:23:54	272699/272699	---M--	200	added ('OK')	image/jpeg	etag:%22v302%22	http://3.bp.blogspot.com/-OL4Dz6jpud0/VKWwQg97rPI/AAAAAAAAAwE/jsNIrZGZxw8/s1600/IMG_2436.jpg	D:/My%20Web%20Sites/wedding%20storyz/3.bp.blogspot.com/-OL4Dz6jpud0/VKWwQg97rPI/AAAAAAAAAwE/jsNIrZGZxw8/s1600/IMG_2436.jpg	(from http://www.weddingstoryz.com/)
18:23:55	295/295	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2029%20Jan%202015%2012:53:56%20GMT	http://www.blogger.com/share-post.g?blogID=8182335901919555726&postID=8588831389617440999&target=twitter	D:/My%20Web%20Sites/wedding%20storyz/www.blogger.com/share-post7d72.g	(from http://www.weddingstoryz.com/)
